page_url,component_type,text_content,extracted_data,position_index
https://callmedley.com/blog/,hero,Expert Tips CONTACT US,"{""b"": ""CONTACT US"", ""h"": ""Expert Tips"", ""i"": ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201920%20477'%3E%3C/svg%3E"", ""s"": """"}",0
https://callmedley.com/blog/,header,Home Services Cooling AC Installation AC Maintenance AC Repair Emergency HVAC System Restoration Heating Furnace Installation Furnace Repair Heating Maintenance Plumbing Drain and Rooter Fixtures Leak,"{""l"": [{""href"": ""https://callmedley.com/"", ""text"": ""Home""}, {""href"": ""https://callmedley.com/services/"", ""text"": ""Services""}, {""href"": ""https://callmedley.com/service-category/cooling/"", ""text"": ""Cooling""}, {""href"": ""https://callmedley.com/services/ac-installation/"", ""text"": ""AC Installation""}, {""href"": ""https://callmedley.com/services/ac-maintenance/"", ""text"": ""AC Maintenance""}, {""href"": ""https://callmedley.com/services/ac-repair/"", ""text"": ""AC Repair""}, {""href"": ""https://callmedley.com/services/emergency-hvac/"", ""text"": ""Emergency HVAC""}, {""href"": ""https://callmedley.com/services/system-restoration/"", ""text"": ""System Restoration""}, {""href"": ""https://callmedley.com/service-category/heating/"", ""text"": ""Heating""}, {""href"": ""https://callmedley.com/services/furnace-installation/"", ""text"": ""Furnace Installation""}, {""href"": ""https://callmedley.com/services/furnace-repair/"", ""text"": ""Furnace Repair""}, {""href"": ""https://callmedley.com/services/heating-maintenance/"", ""text"": ""Heating Maintenance""}, {""href"": ""https://callmedley.com/service-category/plumbing/"", ""text"": ""Plumbing""}, {""href"": ""https://callmedley.com/services/drain-and-rooter/"", ""text"": ""Drain and Rooter""}, {""href"": ""https://callmedley.com/services/fixtures/"", ""text"": ""Fixtures""}, {""href"": ""https://callmedley.com/services/leak-detection/"", ""text"": ""Leak Detection""}, {""href"": ""https://callmedley.com/services/piping-and-repiping/"", ""text"": ""Piping and Repiping""}, {""href"": ""https://callmedley.com/services/shower-bathtubs/"", ""text"": ""Shower & Bathtubs""}, {""href"": ""https://callmedley.com/services/sinks/"", ""text"": ""Sinks""}, {""href"": ""https://callmedley.com/services/tankless-water-heaters/"", ""text"": ""Tankless Water Heaters""}, {""href"": ""https://callmedley.com/services/toilet-repair/"", ""text"": ""Toilet Repair""}, {""href"": ""https://callmedley.com/services/water-heater-services/"", ""text"": ""Water Heater Services""}, {""href"": ""https://callmedley.com/service-category/home-performance/"", ""text"": ""Home Performance""}, {""href"": ""https://callmedley.com/services/airflow-optimization/"", ""text"": ""Airflow Optimization""}, {""href"": ""https://callmedley.com/services/attic-insulation/"", ""text"": ""Attic Insulation""}, {""href"": ""https://callmedley.com/services/ductwork/"", ""text"": ""Ductwork""}, {""href"": ""https://callmedley.com/services/humidifiers-dehumidifiers/"", ""text"": ""Humidifiers & Dehumidifiers""}, {""href"": ""https://callmedley.com/services/indoor-air-quality/"", ""text"": ""Indoor Air Quality""}, {""href"": ""https://callmedley.com/services/thermostats/"", ""text"": ""Thermostats""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Transparent Pricing""}, {""href"": ""https://callmedley.com/services/uv-filtration-purification/"", ""text"": ""UV Filtration & Purification""}, {""href"": ""https://callmedley.com/services/water-filtration/"", ""text"": ""Water Filtration""}, {""href"": ""https://callmedley.com/about-us/"", ""text"": ""About Us""}, {""href"": ""https://callmedley.com/careers/"", ""text"": ""Careers""}, {""href"": ""https://callmedley.com/service-area/"", ""text"": ""Service Area""}, {""href"": ""https://callmedley.com/reviews/"", ""text"": ""Reviews""}, {""href"": ""https://callmedley.com/medley-family-plan/"", ""text"": ""Medley Family Plan""}, {""href"": ""https://callmedley.com/blog/"", ""text"": ""Expert Tips""}, {""href"": ""https://callmedley.com/medley-clear-cost-pricing/"", ""text"": ""Medley Clear Cost Pricing""}, {""href"": ""https://callmedley.com/financing/"", ""text"": ""Financing""}, {""href"": ""https://callmedley.com/hvac-plumbing-specials/"", ""text"": ""HVAC & Plumbing Specials""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Instant Quotes""}, {""href"": ""https://callmedley.com/videos/"", ""text"": ""Videos""}, {""href"": ""https://callmedley.com/"", ""text"": ""Home""}, {""href"": ""https://callmedley.com/services/"", ""text"": ""Services""}, {""href"": ""https://callmedley.com/service-category/cooling/"", ""text"": ""Cooling""}, {""href"": ""https://callmedley.com/services/ac-installation/"", ""text"": ""AC Installation""}, {""href"": ""https://callmedley.com/services/ac-maintenance/"", ""text"": ""AC Maintenance""}, {""href"": ""https://callmedley.com/services/ac-repair/"", ""text"": ""AC Repair""}, {""href"": ""https://callmedley.com/services/emergency-hvac/"", ""text"": ""Emergency HVAC""}, {""href"": ""https://callmedley.com/services/system-restoration/"", ""text"": ""System Restoration""}, {""href"": ""https://callmedley.com/service-category/heating/"", ""text"": ""Heating""}, {""href"": ""https://callmedley.com/services/furnace-installation/"", ""text"": ""Furnace Installation""}, {""href"": ""https://callmedley.com/services/furnace-repair/"", ""text"": ""Furnace Repair""}, {""href"": ""https://callmedley.com/services/heating-maintenance/"", ""text"": ""Heating Maintenance""}, {""href"": ""https://callmedley.com/service-category/plumbing/"", ""text"": ""Plumbing""}, {""href"": ""https://callmedley.com/services/drain-and-rooter/"", ""text"": ""Drain and Rooter""}, {""href"": ""https://callmedley.com/services/fixtures/"", ""text"": ""Fixtures""}, {""href"": ""https://callmedley.com/services/leak-detection/"", ""text"": ""Leak Detection""}, {""href"": ""https://callmedley.com/services/piping-and-repiping/"", ""text"": ""Piping and Repiping""}, {""href"": ""https://callmedley.com/services/shower-bathtubs/"", ""text"": ""Shower & Bathtubs""}, {""href"": ""https://callmedley.com/services/sinks/"", ""text"": ""Sinks""}, {""href"": ""https://callmedley.com/services/tankless-water-heaters/"", ""text"": ""Tankless Water Heaters""}, {""href"": ""https://callmedley.com/services/toilet-repair/"", ""text"": ""Toilet Repair""}, {""href"": ""https://callmedley.com/services/water-heater-services/"", ""text"": ""Water Heater Services""}, {""href"": ""https://callmedley.com/service-category/home-performance/"", ""text"": ""Home Performance""}, {""href"": ""https://callmedley.com/services/airflow-optimization/"", ""text"": ""Airflow Optimization""}, {""href"": ""https://callmedley.com/services/attic-insulation/"", ""text"": ""Attic Insulation""}, {""href"": ""https://callmedley.com/services/ductwork/"", ""text"": ""Ductwork""}, {""href"": ""https://callmedley.com/services/humidifiers-dehumidifiers/"", ""text"": ""Humidifiers & Dehumidifiers""}, {""href"": ""https://callmedley.com/services/indoor-air-quality/"", ""text"": ""Indoor Air Quality""}, {""href"": ""https://callmedley.com/services/thermostats/"", ""text"": ""Thermostats""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Transparent Pricing""}, {""href"": ""https://callmedley.com/services/uv-filtration-purification/"", ""text"": ""UV Filtration & Purification""}, {""href"": ""https://callmedley.com/services/water-filtration/"", ""text"": ""Water Filtration""}, {""href"": ""https://callmedley.com/about-us/"", ""text"": ""About Us""}, {""href"": ""https://callmedley.com/careers/"", ""text"": ""Careers""}, {""href"": ""https://callmedley.com/service-area/"", ""text"": ""Service Area""}, {""href"": ""https://callmedley.com/reviews/"", ""text"": ""Reviews""}, {""href"": ""https://callmedley.com/medley-family-plan/"", ""text"": ""Medley Family Plan""}, {""href"": ""https://callmedley.com/blog/"", ""text"": ""Expert Tips""}, {""href"": ""https://callmedley.com/medley-clear-cost-pricing/"", ""text"": ""Medley Clear Cost Pricing""}, {""href"": ""https://callmedley.com/financing/"", ""text"": ""Financing""}, {""href"": ""https://callmedley.com/hvac-plumbing-specials/"", ""text"": ""HVAC & Plumbing Specials""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Instant Quotes""}, {""href"": ""https://callmedley.com/videos/"", ""text"": ""Videos""}, {""href"": ""https://callmedley.myservicetitan.com/login"", ""text"": ""Client Portal""}, {""href"": ""tel:4696321850"", ""text"": ""(469) 632-1850""}, {""href"": ""https://callmedley.myservicetitan.com/login"", ""text"": ""Client Portal""}, {""href"": ""tel:4696321850"", ""text"": ""(469) 632-1850""}, {""href"": ""/contact-us"", ""text"": ""SCHEDULE NOW""}]}",1
https://callmedley.com/blog/,nav,Home Services Cooling AC Installation AC Maintenance AC Repair Emergency HVAC System Restoration Heating Furnace Installation Furnace Repair Heating Maintenance Plumbing Drain and Rooter Fixtures Leak,"{""l"": [{""href"": ""https://callmedley.com/"", ""text"": ""Home""}, {""href"": ""https://callmedley.com/services/"", ""text"": ""Services""}, {""href"": ""https://callmedley.com/service-category/cooling/"", ""text"": ""Cooling""}, {""href"": ""https://callmedley.com/services/ac-installation/"", ""text"": ""AC Installation""}, {""href"": ""https://callmedley.com/services/ac-maintenance/"", ""text"": ""AC Maintenance""}, {""href"": ""https://callmedley.com/services/ac-repair/"", ""text"": ""AC Repair""}, {""href"": ""https://callmedley.com/services/emergency-hvac/"", ""text"": ""Emergency HVAC""}, {""href"": ""https://callmedley.com/services/system-restoration/"", ""text"": ""System Restoration""}, {""href"": ""https://callmedley.com/service-category/heating/"", ""text"": ""Heating""}, {""href"": ""https://callmedley.com/services/furnace-installation/"", ""text"": ""Furnace Installation""}, {""href"": ""https://callmedley.com/services/furnace-repair/"", ""text"": ""Furnace Repair""}, {""href"": ""https://callmedley.com/services/heating-maintenance/"", ""text"": ""Heating Maintenance""}, {""href"": ""https://callmedley.com/service-category/plumbing/"", ""text"": ""Plumbing""}, {""href"": ""https://callmedley.com/services/drain-and-rooter/"", ""text"": ""Drain and Rooter""}, {""href"": ""https://callmedley.com/services/fixtures/"", ""text"": ""Fixtures""}, {""href"": ""https://callmedley.com/services/leak-detection/"", ""text"": ""Leak Detection""}, {""href"": ""https://callmedley.com/services/piping-and-repiping/"", ""text"": ""Piping and Repiping""}, {""href"": ""https://callmedley.com/services/shower-bathtubs/"", ""text"": ""Shower & Bathtubs""}, {""href"": ""https://callmedley.com/services/sinks/"", ""text"": ""Sinks""}, {""href"": ""https://callmedley.com/services/tankless-water-heaters/"", ""text"": ""Tankless Water Heaters""}, {""href"": ""https://callmedley.com/services/toilet-repair/"", ""text"": ""Toilet Repair""}, {""href"": ""https://callmedley.com/services/water-heater-services/"", ""text"": ""Water Heater Services""}, {""href"": ""https://callmedley.com/service-category/home-performance/"", ""text"": ""Home Performance""}, {""href"": ""https://callmedley.com/services/airflow-optimization/"", ""text"": ""Airflow Optimization""}, {""href"": ""https://callmedley.com/services/attic-insulation/"", ""text"": ""Attic Insulation""}, {""href"": ""https://callmedley.com/services/ductwork/"", ""text"": ""Ductwork""}, {""href"": ""https://callmedley.com/services/humidifiers-dehumidifiers/"", ""text"": ""Humidifiers & Dehumidifiers""}, {""href"": ""https://callmedley.com/services/indoor-air-quality/"", ""text"": ""Indoor Air Quality""}, {""href"": ""https://callmedley.com/services/thermostats/"", ""text"": ""Thermostats""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Transparent Pricing""}, {""href"": ""https://callmedley.com/services/uv-filtration-purification/"", ""text"": ""UV Filtration & Purification""}, {""href"": ""https://callmedley.com/services/water-filtration/"", ""text"": ""Water Filtration""}, {""href"": ""https://callmedley.com/about-us/"", ""text"": ""About Us""}, {""href"": ""https://callmedley.com/careers/"", ""text"": ""Careers""}, {""href"": ""https://callmedley.com/service-area/"", ""text"": ""Service Area""}, {""href"": ""https://callmedley.com/reviews/"", ""text"": ""Reviews""}, {""href"": ""https://callmedley.com/medley-family-plan/"", ""text"": ""Medley Family Plan""}, {""href"": ""https://callmedley.com/blog/"", ""text"": ""Expert Tips""}, {""href"": ""https://callmedley.com/medley-clear-cost-pricing/"", ""text"": ""Medley Clear Cost Pricing""}, {""href"": ""https://callmedley.com/financing/"", ""text"": ""Financing""}, {""href"": ""https://callmedley.com/hvac-plumbing-specials/"", ""text"": ""HVAC & Plumbing Specials""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Instant Quotes""}, {""href"": ""https://callmedley.com/videos/"", ""text"": ""Videos""}, {""href"": ""https://callmedley.com/"", ""text"": ""Home""}, {""href"": ""https://callmedley.com/services/"", ""text"": ""Services""}, {""href"": ""https://callmedley.com/service-category/cooling/"", ""text"": ""Cooling""}, {""href"": ""https://callmedley.com/services/ac-installation/"", ""text"": ""AC Installation""}, {""href"": ""https://callmedley.com/services/ac-maintenance/"", ""text"": ""AC Maintenance""}, {""href"": ""https://callmedley.com/services/ac-repair/"", ""text"": ""AC Repair""}, {""href"": ""https://callmedley.com/services/emergency-hvac/"", ""text"": ""Emergency HVAC""}, {""href"": ""https://callmedley.com/services/system-restoration/"", ""text"": ""System Restoration""}, {""href"": ""https://callmedley.com/service-category/heating/"", ""text"": ""Heating""}, {""href"": ""https://callmedley.com/services/furnace-installation/"", ""text"": ""Furnace Installation""}, {""href"": ""https://callmedley.com/services/furnace-repair/"", ""text"": ""Furnace Repair""}, {""href"": ""https://callmedley.com/services/heating-maintenance/"", ""text"": ""Heating Maintenance""}, {""href"": ""https://callmedley.com/service-category/plumbing/"", ""text"": ""Plumbing""}, {""href"": ""https://callmedley.com/services/drain-and-rooter/"", ""text"": ""Drain and Rooter""}, {""href"": ""https://callmedley.com/services/fixtures/"", ""text"": ""Fixtures""}, {""href"": ""https://callmedley.com/services/leak-detection/"", ""text"": ""Leak Detection""}, {""href"": ""https://callmedley.com/services/piping-and-repiping/"", ""text"": ""Piping and Repiping""}, {""href"": ""https://callmedley.com/services/shower-bathtubs/"", ""text"": ""Shower & Bathtubs""}, {""href"": ""https://callmedley.com/services/sinks/"", ""text"": ""Sinks""}, {""href"": ""https://callmedley.com/services/tankless-water-heaters/"", ""text"": ""Tankless Water Heaters""}, {""href"": ""https://callmedley.com/services/toilet-repair/"", ""text"": ""Toilet Repair""}, {""href"": ""https://callmedley.com/services/water-heater-services/"", ""text"": ""Water Heater Services""}, {""href"": ""https://callmedley.com/service-category/home-performance/"", ""text"": ""Home Performance""}, {""href"": ""https://callmedley.com/services/airflow-optimization/"", ""text"": ""Airflow Optimization""}, {""href"": ""https://callmedley.com/services/attic-insulation/"", ""text"": ""Attic Insulation""}, {""href"": ""https://callmedley.com/services/ductwork/"", ""text"": ""Ductwork""}, {""href"": ""https://callmedley.com/services/humidifiers-dehumidifiers/"", ""text"": ""Humidifiers & Dehumidifiers""}, {""href"": ""https://callmedley.com/services/indoor-air-quality/"", ""text"": ""Indoor Air Quality""}, {""href"": ""https://callmedley.com/services/thermostats/"", ""text"": ""Thermostats""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Transparent Pricing""}, {""href"": ""https://callmedley.com/services/uv-filtration-purification/"", ""text"": ""UV Filtration & Purification""}, {""href"": ""https://callmedley.com/services/water-filtration/"", ""text"": ""Water Filtration""}, {""href"": ""https://callmedley.com/about-us/"", ""text"": ""About Us""}, {""href"": ""https://callmedley.com/careers/"", ""text"": ""Careers""}, {""href"": ""https://callmedley.com/service-area/"", ""text"": ""Service Area""}, {""href"": ""https://callmedley.com/reviews/"", ""text"": ""Reviews""}, {""href"": ""https://callmedley.com/medley-family-plan/"", ""text"": ""Medley Family Plan""}, {""href"": ""https://callmedley.com/blog/"", ""text"": ""Expert Tips""}, {""href"": ""https://callmedley.com/medley-clear-cost-pricing/"", ""text"": ""Medley Clear Cost Pricing""}, {""href"": ""https://callmedley.com/financing/"", ""text"": ""Financing""}, {""href"": ""https://callmedley.com/hvac-plumbing-specials/"", ""text"": ""HVAC & Plumbing Specials""}, {""href"": ""https://pricing.callmedley.com/"", ""text"": ""Instant Quotes""}, {""href"": ""https://callmedley.com/videos/"", ""text"": ""Videos""}, {""href"": ""https://callmedley.myservicetitan.com/login"", ""text"": ""Client Portal""}, {""href"": ""tel:4696321850"", ""text"": ""(469) 632-1850""}]}",2
https://callmedley.com/blog/,card,"August 1, 2025 By Medley A/C Service High Indoor Humidity? How Your AC Could Be Causing It Key Takeaways Your air conditioner controls humidity levels by removing moisture from the air, condensing it ","{""c"": """", ""d"": """", ""i"": ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20640%20800'%3E%3C/svg%3E"", ""n"": ""High Indoor Humidity? How Your AC Could Be Causing It""}",3
https://callmedley.com/blog/,card,,"{""c"": """", ""d"": """", ""i"": ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20640%20800'%3E%3C/svg%3E"", ""n"": """"}",4
https://callmedley.com/blog/,card,"August 1, 2025 By Medley A/C Service High Indoor Humidity? How Your AC Could Be Causing It Key Takeaways Your air conditioner controls humidity levels by removing moisture from the air, condensing it ","{""c"": ""A/C Service"", ""d"": """", ""i"": null, ""n"": ""High Indoor Humidity? How Your AC Could Be Causing It""}",5
https://callmedley.com/blog/,card,"August 1, 2025 By Medley A/C Service","{""c"": ""A/C Service"", ""d"": """", ""i"": null, ""n"": """"}",6
https://callmedley.com/blog/,card,"Key Takeaways Your air conditioner controls humidity levels by removing moisture from the air, condensing it into water droplets, and draining it through the condensate...","{""c"": """", ""d"": """", ""i"": null, ""n"": """"}",7
https://callmedley.com/blog/,card,Read More,"{""c"": ""Read More"", ""d"": """", ""i"": null, ""n"": """"}",8
https://callmedley.com/blog/,card,"June 19, 2025 By Medley Plumbing Which Water Heater Is Right for Your Home — Gas or Electric? Key Takeaways The differences between gas and electric water heaters affect cost, efficiency, installation","{""c"": """", ""d"": """", ""i"": ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20640%20800'%3E%3C/svg%3E"", ""n"": ""Which Water Heater Is Right for Your Home \u2014 Gas or Electric?""}",9
